date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:18	6164/6164	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:e8d75537244f2c46669c3b72a99a2ca3	https://getup.com.pe/products/fullpackslim.oembed	C:/Users/user/Desktop/comida%20final/getup.com.pe/products/fullpackslim.oembed	(from https://getup.com.pe/products/fullpackslim)
09:35:27	42407/42407	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:21%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_compact.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_compact8440.png	(from https://getup.com.pe/products/fullpackslim)
09:35:36	45531/45531	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:28%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_compact.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_compact8440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:24	801892/801892	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:19%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_1024x1024.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/almuerzo_2-snacks_fdb1296b-96bb-4254-b2a9-366b9d1d064e_1024x10248440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:33	822009/822009	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:22%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_1024x1024.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/desayuno-solo_2_c428e5aa-b854-47c0-b0d6-df83e2e268ff_1024x10248440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:33	43829/43829	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:37:26%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Cena-solo-2_95082c39-9de6-40ff-a4fc-43d95fcd1605_compact.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Cena-solo-2_95082c39-9de6-40ff-a4fc-43d95fcd1605_compact8440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:36	751017/751017	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:35:38%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/Cena-solo-2_95082c39-9de6-40ff-a4fc-43d95fcd1605_1024x1024.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/Cena-solo-2_95082c39-9de6-40ff-a4fc-43d95fcd1605_1024x10248440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:38	7456/7456	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:37:36%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_7a1ffb87-57e5-41ac-9ff2-6f4e7a1f85ac_compact.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_7a1ffb87-57e5-41ac-9ff2-6f4e7a1f85ac_compact8440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:42	63609/63609	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Jul%202018%2014:37:35%20GMT	http://cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_7a1ffb87-57e5-41ac-9ff2-6f4e7a1f85ac_1024x1024.png?v=1529106468	C:/Users/user/Desktop/comida%20final/cdn.shopify.com/s/files/1/1534/3917/products/slim_ORIGINAL_7a1ffb87-57e5-41ac-9ff2-6f4e7a1f85ac_1024x10248440.png	(from https://getup.com.pe/products/fullpackslim)
09:37:50	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2001%20Jul%202018%2014:37:38%20GMT	https://www.facebook.com/sharer/sharer.php?u=https://getup.com.pe/products/fullpackslim&p[images][0]=products/PLAN-SLIM-FULL-PACK---slim-dietas----web-get-up.png	C:/Users/user/Desktop/comida%20final/www.facebook.com/sharer/sharer.1e39f37.delayed	(from https://getup.com.pe/products/fullpackslim)
